;div;h1;h2;h3;h4;h5;h6;img;form;fieldset;legend;label;input;labelsAssociados;script;article;section;nav;footer;video;audio;object;applet;table;tr;th;td;caption;style;links;ul;ol;li;dl;dt;dd;alt;roles.alert;roles.alertdialog;roles.application;roles.article;roles.banner;roles.button;roles.checkbox;roles.columnheader;roles.combobox;roles.complementary;roles.contentinfo;roles.definition;roles.dialog;roles.directory;roles.document;roles.form;roles.grid;roles.gridcell;roles.group;roles.heading;roles.img;roles.link;roles.listbox;roles.listitem;roles.log;roles.main;roles.marquee;roles.math;roles.menu;roles.menubar;roles.menuitem;roles.menuitemcheckbox;roles.menuitemradio;roles.navigation;roles.note;roles.option;roles.presentation;roles.progressbar;roles.radio;roles.radiogroup;roles.region;roles.row;roles.rowgroup;roles.rowheader;roles.scrollbar;roles.search;roles.separator;roles.slider;roles.spinbutton;roles.status;roles.tab;roles.tablist;roles.tabpanel;roles.textbox;roles.timer;roles.toolbar;roles.tooltip;roles.tree;roles.treegrid;roles.treeitem;arialabel;arialabelledby;ariadescribedby
;31;0;1;0;0;0;0;5;2;0;0;0;10;0;19;0;0;0;0;0;0;0;0;4;7;0;19;0;3;0;0;4;31;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;30;0;1;0;0;0;0;5;2;0;0;0;10;0;15;0;0;0;0;0;0;0;0;4;7;0;19;0;3;0;0;4;31;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;30;0;1;0;0;0;0;5;2;0;0;0;10;0;17;0;0;0;0;0;0;0;0;4;7;0;19;0;3;0;0;4;29;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;33;0;1;0;0;0;0;4;2;0;0;0;10;0;17;0;0;0;0;0;0;0;0;4;7;0;19;0;3;0;0;4;26;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;31;0;1;0;0;0;0;5;2;0;0;0;10;0;19;0;0;0;0;0;0;0;0;4;7;0;19;0;3;0;0;4;28;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;31;0;1;0;0;0;0;5;2;0;0;0;10;0;18;0;0;0;0;0;0;0;0;4;7;0;19;0;3;0;0;4;27;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;54;1;1;0;0;0;0;7;2;0;0;0;8;0;21;0;0;0;0;0;0;0;0;3;6;0;16;0;7;0;0;4;31;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;34;0;1;0;0;0;0;6;2;0;0;0;12;0;19;0;0;0;0;0;0;0;0;5;10;0;23;0;4;0;0;4;28;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;34;0;1;0;0;0;0;6;2;0;0;0;12;0;19;0;0;0;0;0;0;0;0;5;10;0;23;0;4;0;0;4;28;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FACEBOOK;21;1;1;0;0;0;0;4;2;0;0;2;11;2;7;0;0;0;0;0;0;0;0;3;6;0;16;0;1;0;2;0;7;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
